,id,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Year,SalaryCap
21,CharlesBarkley2000,CharlesBarkley,PF,36,HOU,20,18,31.0,5.3,11.1,0.47700000000000004,0.3,1.3,0.231,5.0,9.8,0.51,0.491,3.6,5.5,0.645,3.6,6.9,10.5,3.2,0.7,0.2,2.2,2.4,14.5,9000000.0,2000,34000000
22,DanaBarros2000,DanaBarros,PG,32,BOS,72,0,15.8,2.7,6.0,0.451,0.8,2.0,0.41,1.9,4.0,0.47100000000000003,0.518,0.9,1.1,0.868,0.2,1.2,1.4,1.8,0.4,0.1,0.9,1.1,7.2,3500000.0,2000,34000000
23,BrentBarry2000,BrentBarry,SG,28,SEA,80,74,34.1,4.1,8.8,0.46299999999999997,2.1,5.0,0.41100000000000003,2.0,3.9,0.529,0.579,1.6,2.0,0.809,0.6,4.0,4.7,3.6,1.3,0.4,1.8,2.9,11.8,3960000.0,2000,34000000
24,DrewBarry2000,DrewBarry,PG,26,TOT,16,0,9.9,0.9,2.1,0.455,0.4,1.1,0.389,0.5,0.9,0.5329999999999999,0.561,0.3,0.3,0.8,0.0,0.8,0.8,2.1,0.1,0.0,0.8,1.4,2.6,62765.0,2000,34000000
25,JonBarry2000,JonBarry,SG,30,SAC,62,1,20.7,2.6,5.6,0.465,1.1,2.5,0.429,1.5,3.1,0.495,0.561,1.7,1.9,0.922,0.6,2.0,2.6,2.4,1.2,0.1,1.4,1.7,8.0,800000.0,2000,34000000
26,TonyBattie2000,TonyBattie,C,23,BOS,82,4,18.4,2.7,5.6,0.47700000000000004,0.0,0.1,0.125,2.7,5.5,0.483,0.478,1.2,1.8,0.675,1.9,3.1,5.0,0.8,0.6,0.9,0.8,3.0,6.6,2530920.0,2000,34000000
27,JonathanBender2000,JonathanBender,SF,19,IND,24,1,5.4,1.0,2.9,0.32899999999999996,0.1,0.5,0.16699999999999998,0.9,2.4,0.36200000000000004,0.34299999999999997,0.7,1.0,0.667,0.2,0.7,0.9,0.1,0.0,0.2,0.3,0.8,2.7,2214600.0,2000,34000000
28,BenoitBenjamin2000,BenoitBenjamin,C,35,CLE,3,0,2.7,0.3,1.0,0.33299999999999996,0.0,0.0,,0.3,1.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.7,123529.0,2000,34000000
29,CoreyBenjamin2000,CoreyBenjamin,SG,21,CHI,48,10,18.0,3.0,7.3,0.414,0.6,1.9,0.348,2.4,5.4,0.43700000000000006,0.45899999999999996,1.0,1.7,0.598,0.4,1.4,1.8,1.1,0.6,0.5,1.5,2.5,7.7,696000.0,2000,34000000
30,MarioBennett2000,MarioBennett,PF,26,LAC,1,0,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,2000,34000000
31,TravisBest2000,TravisBest,PG,27,IND,82,0,20.6,3.3,6.8,0.483,0.4,1.1,0.376,2.9,5.7,0.504,0.514,1.9,2.3,0.821,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9,3250000.0,2000,34000000
32,MikeBibby2000,MikeBibby,PG,21,VAN,82,82,38.5,5.6,12.6,0.445,0.9,2.6,0.363,4.7,10.0,0.466,0.483,2.4,3.0,0.78,0.9,2.8,3.7,8.1,1.6,0.2,3.0,2.1,14.5,3092400.0,2000,34000000
33,ChaunceyBillups2000,ChaunceyBillups,SG,23,DEN,13,5,23.5,2.6,7.8,0.337,0.5,3.2,0.171,2.1,4.6,0.45,0.371,2.8,3.4,0.841,0.6,2.0,2.6,3.0,0.8,0.2,1.8,2.1,8.6,3100080.0,2000,34000000
34,MookieBlaylock2000,MookieBlaylock,PG,32,GSW,73,72,33.7,4.5,11.5,0.391,1.4,4.1,0.336,3.1,7.3,0.42200000000000004,0.451,0.9,1.3,0.705,0.8,2.9,3.7,6.7,2.0,0.3,2.0,1.7,11.3,4200000.0,2000,34000000
35,CorieBlount2000,CorieBlount,PF,31,PHO,38,1,11.7,1.2,2.3,0.494,0.0,0.1,0.0,1.2,2.3,0.506,0.494,0.5,0.9,0.5760000000000001,1.4,1.6,3.0,0.3,0.4,0.2,0.7,2.1,2.8,1100000.0,2000,34000000
36,MuggsyBogues2000,MuggsyBogues,PG,35,TOR,80,5,21.6,2.0,4.5,0.439,0.2,0.6,0.33299999999999996,1.8,3.8,0.456,0.462,1.0,1.1,0.9079999999999999,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,510000.0,2000,34000000
37,EtdrickBohannon2000,EtdrickBohannon,PF,26,TOT,13,0,9.1,0.5,1.0,0.5379999999999999,0.0,0.0,,0.5,1.0,0.5379999999999999,0.5379999999999999,1.2,1.8,0.625,1.0,1.4,2.4,0.4,0.2,0.5,0.8,1.9,2.2,,2000,34000000
38,CalvinBooth2000,CalvinBooth,C,23,WAS,11,0,13.0,1.5,4.2,0.348,0.0,0.0,,1.5,4.2,0.348,0.348,0.9,1.3,0.7140000000000001,1.4,1.5,2.9,0.6,0.3,1.3,0.5,2.1,3.8,301875.0,2000,34000000
39,LazaroBorrell2000,LazaroBorrell,SF,27,SEA,17,6,9.8,1.6,3.7,0.444,0.0,0.2,0.0,1.6,3.5,0.467,0.444,0.4,0.6,0.545,0.8,1.5,2.4,0.6,0.4,0.2,0.4,0.5,3.6,301875.0,2000,34000000
40,CalBowdler2000,CalBowdler,SF,22,ATL,46,0,9.2,1.1,2.5,0.426,0.0,0.0,0.0,1.1,2.5,0.43,0.426,0.5,0.8,0.632,0.5,1.4,1.8,0.3,0.3,0.2,0.5,1.0,2.7,1025880.0,2000,34000000
41,BruceBowen2000,BruceBowen,SF,28,TOT,69,2,12.7,1.0,2.8,0.371,0.4,0.8,0.466,0.7,2.0,0.331,0.441,0.4,0.6,0.581,0.4,1.0,1.4,0.5,0.3,0.2,0.3,1.7,2.8,510000.0,2000,34000000
42,RyanBowen2000,RyanBowen,SF,24,DEN,52,0,11.3,0.9,2.3,0.39299999999999996,0.0,0.2,0.111,0.9,2.1,0.41700000000000004,0.397,0.7,1.0,0.7170000000000001,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5,301875.0,2000,34000000
43,IraBowman2000,IraBowman,SG,26,PHI,11,0,1.8,0.2,0.2,1.0,0.0,0.0,,0.2,0.2,1.0,1.0,0.1,0.2,0.5,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.5,4529.0,2000,34000000
44,EarlBoykins2000,EarlBoykins,PG,23,TOT,26,0,10.0,2.2,4.5,0.483,0.3,0.8,0.4,1.8,3.7,0.5,0.517,0.7,0.9,0.7829999999999999,0.5,0.5,1.0,1.8,0.5,0.0,0.7,0.9,5.3,88324.0,2000,34000000
45,ShawnBradley2000,ShawnBradley,C,27,DAL,77,54,24.7,3.5,7.2,0.479,0.0,0.1,0.2,3.4,7.1,0.48200000000000004,0.48,1.5,1.9,0.765,2.1,4.4,6.5,0.8,0.9,2.5,1.0,3.4,8.4,7560000.0,2000,34000000
46,AJBramlett2000,AJBramlett,C,23,CLE,8,0,7.6,0.5,2.6,0.19,0.0,0.0,,0.5,2.6,0.19,0.19,0.0,0.0,,1.5,1.3,2.8,0.0,0.1,0.0,0.4,1.6,1.0,118974.0,2000,34000000
47,EltonBrand2000,EltonBrand,PF,20,CHI,81,80,37.0,7.8,16.1,0.48200000000000004,0.0,0.0,0.0,7.8,16.1,0.483,0.48200000000000004,4.5,6.6,0.685,4.3,5.7,10.0,1.9,0.8,1.6,2.8,3.2,20.1,3375960.0,2000,34000000
48,TerrellBrandon2000,TerrellBrandon,PG,29,MIN,71,71,36.4,6.8,14.7,0.466,0.7,1.9,0.402,6.1,12.8,0.47600000000000003,0.49200000000000005,2.6,2.9,0.899,0.6,2.7,3.4,8.9,1.9,0.4,2.6,2.2,17.1,7400000.0,2000,34000000
49,ChuckyBrown2000,ChuckyBrown,PF,31,TOT,63,29,17.4,2.3,5.2,0.451,0.0,0.2,0.2,2.3,5.0,0.45899999999999996,0.45399999999999996,0.6,0.8,0.6920000000000001,0.6,2.1,2.7,1.0,0.3,0.3,0.7,1.8,5.3,510000.0,2000,34000000
50,DeeBrown2000,DeeBrown,PG,31,TOR,38,12,17.7,2.4,6.8,0.36,1.8,4.9,0.358,0.7,1.9,0.366,0.49,0.3,0.4,0.688,0.2,1.2,1.4,2.3,0.6,0.1,1.0,1.6,6.9,4000000.0,2000,34000000
51,MarcusBrown2000,MarcusBrown,SG,25,DET,6,0,7.5,0.7,2.3,0.28600000000000003,0.0,1.2,0.0,0.7,1.2,0.5710000000000001,0.28600000000000003,0.3,0.3,1.0,0.5,0.7,1.2,0.5,0.0,0.0,0.5,1.3,1.7,43294.0,2000,34000000
52,PJBrown2000,PJBrown,PF,30,MIA,80,80,28.8,4.0,8.4,0.48,0.0,0.0,0.0,4.0,8.4,0.48100000000000004,0.48,1.5,2.0,0.755,2.7,4.8,7.5,1.8,0.8,0.8,1.3,3.3,9.6,5124800.0,2000,34000000
53,RandyBrown2000,RandyBrown,PG,31,CHI,59,55,27.5,2.7,7.4,0.361,0.1,0.1,0.5,2.6,7.3,0.359,0.364,1.1,1.4,0.738,0.4,2.1,2.4,3.4,1.0,0.3,1.8,2.0,6.4,1200000.0,2000,34000000
54,RickBrunson2000,RickBrunson,PG,27,NYK,37,0,7.8,0.8,1.9,0.414,0.1,0.4,0.154,0.7,1.5,0.474,0.429,0.3,0.5,0.611,0.1,0.6,0.7,1.3,0.2,0.0,0.8,0.9,1.9,485000.0,2000,34000000
55,KobeBryant2000,KobeBryant,SG,21,LAL,66,62,38.2,8.4,17.9,0.46799999999999997,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,9000000.0,2000,34000000
56,MarkBryant2000,MarkBryant,PF,34,CLE,75,50,22.8,2.3,4.6,0.503,0.0,0.0,,2.3,4.6,0.503,0.503,1.0,1.3,0.809,1.7,3.0,4.7,0.8,0.4,0.4,1.2,3.3,5.7,2000000.0,2000,34000000
57,GregBuckner2000,GregBuckner,SG,23,DAL,48,1,19.2,2.3,4.9,0.47600000000000003,0.2,0.5,0.385,2.1,4.3,0.488,0.498,0.9,1.3,0.6829999999999999,1.2,2.5,3.6,1.1,0.8,0.4,0.8,3.1,5.7,47647.0,2000,34000000
58,JudBuechler2000,JudBuechler,SF,31,DET,58,5,11.3,0.9,2.7,0.353,0.3,1.4,0.217,0.6,1.3,0.507,0.41,0.0,0.1,0.28600000000000003,0.5,1.1,1.6,0.6,0.4,0.3,0.2,0.9,2.2,1100000.0,2000,34000000
59,RodneyBuford2000,RodneyBuford,SG,22,MIA,34,0,11.4,1.8,4.4,0.41100000000000003,0.2,0.9,0.24100000000000002,1.6,3.6,0.451,0.434,0.5,0.6,0.727,0.3,1.1,1.4,0.6,0.3,0.2,0.3,1.3,4.3,301875.0,2000,34000000
60,MattBullard2000,MattBullard,PF,32,HOU,56,27,18.3,2.5,6.1,0.409,1.4,3.2,0.446,1.1,2.9,0.368,0.525,0.4,0.5,0.833,0.2,2.2,2.5,1.1,0.3,0.2,0.6,1.5,6.8,1333333.0,2000,34000000
